"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Backorders","Backorders"
"Catalog Inventory","Catalog Inventory"
"Can not specify product identifier for order item","Ei saa määratleda toote identifikaatorit tellimuse tootele"
"By Fixed value","Fikseeritud väärtuse järgi"
"To Fixed Value","Fikseeritud väärtuse juurde"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Stock Options","Lao valikud"
"In Stock","Laos"
"Inventory","Laoseis"
"Out of Stock","Laost otsas"
"Allow Qty Below 0","Luba kogus alla 0"
"Allow Qty Below 0 and Notify Customer","Luba kogus alla 0 ja teavita klienti"
"The maximum quantity allowed for purchase is %s.","Maksimaalne lubatud kogus on %s."
"Manage Stock","Manage Stock"
"Some of the products cannot be ordered in the requested quantity","Mõningaid tooteid ei saa valitud koguses tellida"
"Some of the products can not be ordered in requested quantity","Mõningaid tooteid ei saa valitud koguses tellida"
"The minimum quantity allowed for purchase is %s.","Minimaalne lubatud kogus on %s."
"No Backorders","No Backorders"
"Some of the products are currently out of stock","Osad tooted on laost otsas"
"Maximum Qty Allowed in Shopping Cart","Ostukorvis lubatud maksimaalne kogus"
"Minimum Qty Allowed in Shopping Cart","Ostukorvis lubatud minimaalne kogus"
"Product Stock Options","Product Stock Options"
"By Percentage","Protsendi järgi"
"To Percentage","Protsendi juurde"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Rule price","Reegli hind"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"The requested quantity for ""%s"" is not available.","Soovitud kogust ""%s"" ei ole saadaval"
"The requested quantity is not available.","Soovitud kogust ei ole saadaval"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"Notify for Quantity Below","Teavita allpool olevale koguse korral"
"This product is currently out of stock.","Toode on hetkel laost otsas."
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Uuenda toodet"
"Decrease Stock When Order is Placed","Vähenda ladu kui tellimus on tehtud"
