"Active","Aktiivne"
"From Date","Alates kuupäevast"
"Start at: %s","Alusta: %"
"Invoices","Arved"
"Attribute Set","Atribuutide komplekt"
"General Information","Üldine informatsioon"
"No","Ei"
"Unable to find a page to delete","Ei leia lehte mida kustutada"
"NOT LOGGED IN","EI OLE SISSE LOGITUD"
"Unable to apply rules","Ei saa rakendada reeglit"
"Expire at: %s","Expire at: %s"
"ID","ID"
"Yes","Jah"
"Catalog","Kataloog"
"Catalog Price Rule","Kataloogi hinna reegel"
"Catalog Price Rules","Kataloogi hinnareeglid"
"Category","Kategooria"
"Date Start","Kehtivuse algus"
"Date Expire","Kehtivuse lõpp"
"Gift Messages","Kingituse sõnumid"
"Description","Kirjeldus"
"Description: %s","Kirjeldus: %"
"Customer Groups","Kliendigrupid"
"Customer is new buyer: %s","Klient on uus ostja: %"
"Customer registered: %s","Klient registreerus: %"
"Comments History","Kommentaaride ajalug"
"Credit Memos","Kreeditarved"
"To Date","Kuni kuupäevani"
"Delete Rule","Kustuta reegel"
"Date From","Kuupäev alates"
"Date To","Kuupäev kuni"
"Add New Rule","Lisa uus reegel"
"Promotions","Müügikampaaniad"
"Inactive","Mitteaktiivne"
"Edit Rule","Muuda reeglid"
"Edit Rule '%s'","Muuda reeglit '%'"
"Name: %s","Nimi: %s"
"Stop further rules processing","Peata edasine reeglite protsessimine"
"Priority","Prioriteet"
"Apply Rules","Rakenda reeglid"
"Rule was successfully deleted","Reegel on kustutatud"
"Rules were successfully applied","Reegel on rakendatud"
"Rule was successfully saved","Reegel on salvestatud"
"Rule Information","Reegli informatsioon"
"Rule Name","Reegli nimi"
"Save and Apply","Salvesta ja rakenda"
"Save Rule","Salvesta reegel"
"This rule no longer exists","See reegel ei eksisteeri enam"
"Status","Staatus"
"Shipments","Tarned"
"Actions","Tegevused"
"Order History","Tellimuste ajalugu"
"Order Invoices","Tellimuste arved"
"Order Gift Messages","Tellimuste kingituste sõnumid"
"Order Shipments","Tellimuste kohaletoimetamised"
"Order Credit Memos","Tellimuste kreeditarved"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"Conditions","Tingimused"
"Conditions (leave blank for all products)","Tingimused (jäta tühjaks kõikide toodete puhul)"
"Conditions Combination","Tingimuste kombinatsioon"
"Product Attribute","Toote atribuut"
"Update product's %s %s: %s","Uuenda toote %s %s: %s"
"New Rule","Uus reegel"
"Options","Valikud"
"Websites","Veebisaidid"
