"1 star","1 star"
"2 stars","2 tähte"
"3 stars","3 tähte"
"4 stars","4 tähte"
"5 stars","5 tähte"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Kui te ei määra reitingu nimeust poele kasutatakse vaikimisi väärtust"
"Delete Rating","Kustuta kommentaar"
"Add New Rating","Lisa uus reiting"
"Manage Ratings","Manage Ratings"
"Assigned Options","Määratud valikud"
"Edit Rating","Muuda kommentaari"
"Be the first to review this product","Ole selle toote esimene hindaja"
"Visible In","On nähtav"
"Please select one of each ratings above","Palun valige üks igast reitingust ülalpool"
"Rating isn't Available","Reiting ei ole saadaval"
"Rating with the same title","Reiting sama nimetusega"
"Rating Information","Reitingu informatsioon"
"Rating Visibility","Reitingu nähtavus"
"Rating Title","Reitingu nimetus"
"Rating Name","Reitingu nimi"
"Rating Options","Reitingu valikud"
"Save Rating","Salvesta reiting"
"New Rating","Uus reiting"
"Default Value","Vaikimisi väärtus"
"Option Title","Valiku nimetus"
"Option Title:","Valiku nimetus:"
"Option Label","Valiku silt"
