"critical","critical"
"Remove","Eemalda"
"Error while marking as read. Please try again later.","Error while marking as read. Please try again later."
"Error while marking. Please try again later.","Error while marking. Please try again later."
"Error while removing. Please try again later.","Error while removing. Please try again later."
"Last update","Last update"
"Date Added","Lisamise kuupäev"
"major","major"
"Mark as read","Mark as read"
"Mark as Read","Märgi loetuks"
"Message was successfully marked as read","Message was successfully marked as read"
"Message was successfully removed","Message was successfully removed"
"Messages Inbox","Messages Inbox"
"minor","minor"
"notice","notice"
"Notifications","Notifications"
"Are you sure?","Olete kindel?"
"Please select messages","Please select messages"
"Read Details","Read Details"
"Show List","Show List"
"Show Toolbar","Show Toolbar"
"Severity","Tõsidus"
"Message","Teade"
"Actions","Tegevused"
"Total of %d record(s) were successfully marked as read","Total of %d record(s) were successfully marked as read"
"Total of %d record(s) were successfully removed","Total of %d record(s) were successfully removed"
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Update frequency","Update frequency"
"Use HTTPS to get feed","Use HTTPS to get feed"
