"* Select shipping method","* Select shipping method"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Expiration: %s","Aegub: %s"
"Allowed Methods","Allowed Methods"
"Location","Asukoht"
"Auto-generated from GoogleCheckout Charge","Automaatselt genereeritud GoogleCheckout Charge poolt"
"Invoice auto-created: %s","Automaatselt loodud arve: %s"
"AVS Status: %s","AVS staatus: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"CC Partial: xxxx-%s","CC Partial: xxxx-%s"
"CID Status: %s","CID staatus: %s"
"Debug","Debug"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Financial: %s -> %s","Finantsiline: %s -> %s"
"Free Shipping","Free Shipping"
"Google API","Google API"
"Google Authorization:","Google autoriseerimine:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Merchant Calculated","Google Checkout kohaletoimetamine - kaupmees arvutatud"
"Google Checkout Shipping - Carrier Calculated","Google Checkout kohaletoimetamine - vedaja arvutatud"
"Google Checkout Shipping - Flat Rate","Google Checkout kohaletoimetatud - fikseeritud hind"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout: %s","Google maksmine: %s"
"Google Buyer Id: %s","Google ostja ID: %s"
"Google Risk Information:","Google riski informatsioon:"
"Google Refund:","Google tagastamine:"
"Google Charge:","Google tariif:"
"Google Order Number: %s","Google tellimuse number: %s"
"Google order status change:","Google tellimuse staatuse muutus:"
"Hide Cart Contents During Checkout","Hide Cart Contents During Checkout"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"IP Address: %s","IP aadress: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Continue Shopping URL","Jätka ostlemist URL"
"Merchant ID","Kaupmehe ID"
"Merchant Key","Kaupmehe võti"
"Eligible for protection: %s","Kõlbulik kaitse saamiseks: %s"
"Total Refunded: %s","Kokku tagastatud: %s"
"Total Charged: %s","Kokku tasutud: %s"
"Large - %s","Large - %s"
"Sandbox","Liivakast"
"Enable","Luba"
"Checkout Image Style","Maksmise pildi stiil"
"Medium - %s","Medium - %s"
"Method","Method"
"No","No"
"Buyer account age: %s days","Ostja konto vanus: %s päeva"
"Cart Discount","Ostukorvi allahindlus"
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Amount: %s","Summa: %s"
"Fulfillment: %s -> %s","Täitmine: %s -> %s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"New order status","Uus tellimuse staatus"
"Default price:","Vaikmisi hind:"
"Optional, leave empty for home page.","Valikuline, jäta tühjaks avalehel"
"Latest Refund: %s","Viimane tagastamine: %s"
"Latest Charge: %s","Viimane tasumine: %s"
"Virtual item to reflect discount total","Virtuaalne toode väljendamaks kogu allahindlust"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
