"--Please Select--","--Please Select--"
"<label>Make Check payable to:</label> %s","<label>Märgi tshekimakse saajaks:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Märgi tshekimakse saajaks</label>: %s"
"Year","Aasta"
"Expiration Date","Aegumistähtaeg"
"Expiration Date: %s/%s","Aegumistähtaeg: %s/%s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","Card Verification Number"
"Credit Card Number: %s","Credit Card Number: %s"
"Credit Card Verification","Credit Card Verification"
"Sort order","Järjekord"
"Credit Card Number","Krediitkaardi number"
"Credit Card Number: xxxx-%s","Krediitkaardi number: xxxx-%s"
"Credit Card Types","Krediitkaardi tüübid"
"Credit Card Type","Krediitkaardi tüüp"
"Credit Card Type: %s","Krediitkaardi tüüp: %s"
"Month","Kuu"
"Enabled","Lubatud"
"Payment from applicable countries","Makse kohaldatavatest riikidest"
"Payment from Specific countries","Makse määratud riikidest"
"Payment Methods","Makseviisid"
"Maximum Order Total","Maximum Order Total"
"Make Check payable to","Märgi tshekimakse saajaks"
"Make Check payable to: %s","Märgi tshekimakse saajaks: %s"
"Minimum Order Total","Minimum Order Total"
"What is this?","Mis see on?"
"Title","Nimetus"
"Name on Card","Nimi kaardil"
"Name on the Card: %s","Nimi kaardil: %s"
"Zero Subtotal Checkout","Null summa maksmine"
"Purchase order","Ostutellimus"
"Purchase Order Number","Ostutellimuse number"
"Purchase Order Number: %s","Ostutellimuse number: %s"
"Payment Methods Section","Payment Methods Section"
"Send Check to:","Saada tshekk:"
"Send Check to","Saata tshekk"
"Saved CC","Salvestatud CC"
"Check / Money order","Tshekk / Maksekorraldus"
"New order status","Uus tellimuse staatus"
