"Not enough parameters","Ei ole piisavalt parameetreid"
"Special price:","Erihind:"
"Price:","Hind:"
"Price alert Email Template","Hinna teavituse e-kirja mall"
"Unsubscribe from all price alerts","Katkesta kõikide hinnateavituste tellimus"
"Unsubscribe from all stock alerts","Katkesta kõikide laoseisu teavituste tellimus"
"Click here not to receive alerts for this product","Kliki siia teavituste mittesaamiseks selle toote kohta"
"Stock alert Email Template","Laoseisu teavituse e-kirja mall"
"Allow alert when product comes back in stock","Luba teavitus kui toode on jälle laos"
"Allow alert when product price changes","Luba teavitus kui toote hind muutub"
"Please try again later","Palun proovi hiljem uuesti"
"Frequency","Sagedus"
"Start Time","Start Time"
"You will no longer receive price alerts for this product","Te ei saa enam hinna teavitusi selle toote kohta"
"You will no longer receive stock alerts","Te ei saa enam laoseisu teavitusi"
"You will no longer receive stock alerts for this product","Te ei saa enam laoseisu teavitusi selle toote koha"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Te saite selle teate kuna tellisite teavituse millal järgnevad tooted on jälle laos olemas:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Te saite selle teate kuna tellisite teavituse millal on järgnevate toodete hinnad muutunud:"
"Alert Email Sender","Teavituse e-kirja saatja"
"Alert subscription was deleted successfully","Teavituse tellimine on kustutatud"
"Alert subscription was saved successfully","Teavituse tellimine on salvestatud"
"Sign up for price alert","Telli hinnateavitus"
"Sign up to get notified when this product is back in stock","Telli teavitus selle kohta millal see toode jälle laos on"
"Product not found","Toodet ei leitud"
"Product price alert","Toote hinna teavitus"
"Product stock alert","Toote laoseisu teavitus"
"Product Alerts","Toote teavitused"
"Product alerts Cron error","Toote teavituste ajastamise viga"
"Product Alerts Run Settings","Toote teavituste jooksutamise seaded"
"Error Email Template","Vea e-kirja mall "
"Error Email Recipient","Vea e-kirja saaja"
"Error Email Sender","Vea e-kirja saatja"
