"%d Review(s)","%d Kommentaar(i)"
"%s Review(s)","%s kommentaar(i)"
"(Posted on %s)","(Postitatud %s)"
"1 star","1"
"2 stars","2"
"3 stars","3"
"4 stars","4"
"5 stars","5"
"Administrator","Administraator"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Write Your Own Review","Andke oma kommentaar"
"Detailed Rating","Üksikasjalik reiting"
"Submit Review","Esita kommentaar"
"Price","Hind"
"Product Rating","Hinnang"
"ID","ID"
"Guest","Külaline"
"All Reviews","Kõik kommentaarid"
"Average Customer Rating","Keskmine reiting"
"Average Customer Rating:","Keskmine reiting:"
"Pending Reviews","Kinnitamata kommentaarid"
"Customer Reviews","Kliendi kommentaarid"
"Customer","Klient"
"Qty","Kogus"
"Review","Kommentaar"
"Review Details","Kommentaari üksikasjad"
"Unable to post review. Please, try again later.","Kommentaari ei saa esitada. Palun prooviga hiljem uuesti."
"Summary of review","Kommentaari kokkuvõte"
"Summary of Review","Kommentaari kokkuvõte"
"How do you rate this product?","Kuidas Te hindate seda toodet?"
"Delete","Kustuta"
"Delete Review","Kustuta kommentaar"
"Created On","Kuupäev"
"Add Your Review","Lisa oma kommentaar"
"Add New Review","Lisa uus kommentaar"
"Manage Ratings","Manage Ratings"
"My Recent Reviews","Minu hiljutised kommentaarid"
"My Product Reviews","Minu kommentaarid toodetele"
"Edit Review '%s'","Muuda kommentaari '%s'"
"Visible In","Nähtav"
"Title","Nimetus"
"Name","Nimi"
"Name In Store","Nimi poes"
"Nickname","Nimi, mille all kommentaar ilmub"
"Be the first to review this product","Ole esimene, kes sellele tootele kommentaari kirjutab"
"Are you sure you want to do this?","Olete Te kindel, et soovite seda teha?"
"Are you sure?","Olete Te kindel?"
"OR","OR"
"Please select one of each of the ratings above","Palun valige üks igast reitingust ülalpool"
"Please select a product","Palun valige toode"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Posted By","Postitas"
"Rating:","Reiting:"
"Review by %s","Review by %s"
"Reviews and Ratings","Reviews and Ratings"
"Save Review","Salvesta Kommentaar"
"SKU","SKU"
"Status","Staatus"
"Summary Rating","Summaarne reiting"
"Back","Tagasi"
"Back to My Reviews","Tagasi minu kommentaaride juurde"
"Back to Product Reviews","Tagasi toote kommentaaride juurde"
"Back to Main Product Info","Tagasi toote lehele"
"Type","Tüüp"
"You have submitted no reviews.","Te ei ole andnud ühtegi kommentaari."
"Your Review (submitted on %s):","Teie kommentaar (esitatud %s):"
"Your review has been accepted for moderation","Teie kommentaar on modereerimiseks vastu võetud"
"Your Rating:","Teie kommentaar:"
"Summary of Your Review","Teie kommentaari kokkuvõte"
"Product","Toode"
"Product Review (submitted on %s):","Toote kommentaar: (postitatud %s)"
"Product Reviews","Toote kommentaarid"
"Product Name","Toote nimetus"
"Product Rating:","Toote reiting:"
"Product SKU","Toote SKU"
"Update status","Uuenduse staatus"
"New Review","Uus kommentaar"
"View Details","Vaata üksikasju"
"View All Reviews","Vaata kõiki kommentaare"
"Websites","Websites"
"You're reviewing: %s","You're reviewing: %s"
