"%s - Discounts and Coupons","%s - Discounts and Coupons"
"%s - Special Discounts","%s - Special Discounts"
"%s has reached a quantity of %s.","%s on jõudnud koguseni %s."
"%s RSS Feed","%s RSS Feed"
"%s's Wishlist","%s's Wishlist"
"Discount ","Allahindlus "
"Details for %s #%s","Üksikasjad %s nr %s"
"Category Feeds","Category Feeds"
"Cannot retrieve the wishlist","Ei saa soovikorvi kätte"
"Special Products","Eritooted"
"Catalog","Kataloog"
"Top Level Category","Kõrgeima taseme kategooria"
"To:","Kellele:"
"From:","Kellelt:"
"Gift Message","Kingituse sõnum"
"Customer Name: %s","Kliendi nimi: %s"
"Customer Order Status Notification","Kliendi tellimuse staatuse teavitus"
"click <a href=""%s"">here</a> to view the review","kliki <a href=""%s"">siia</a> nägemaks kommentaari"
"Grand Total","Kogusumma"
"Total: %s<br/>","Kokku: %s<br/>"
"Review: %s <br/>","Kommentaar: %s <br/>"
"Summary of review: %s <br/>","Kommentaari kokkuvõte: %s <br/>"
"Comment: %s<br/>","Kommentaarid: %s<br/>"
"Coupons/Discounts","Kupongid/allahindlused"
"Enable RSS","Luba RSS"
"Low Stock Products","Madala laoseisuga tooted"
"Tax","Maks"
"Tags Products","Märksõna tooted"
"Miscellaneous Feeds","Miscellaneous Feeds"
"Purchased From: %s","Ostetud: %s"
"Pending product review(s)","Pending product review(s)"
"Store: %s <br/>","Pood: %s <br/>"
"Current Status: %s<br/>","Praegune staatus: %s<br/>"
"RSS","RSS"
"Rss Feeds Section","Rss Feeds Section"
"RSS Feeds","RSS kanalid"
"Rss Config","Rss konfig"
"RSS testing","RSS testing"
"Message:","Sõnum:"
"Shipping & Handling","Shipping & Handling"
"Wishlist","Soovikorv"
"Special/Discount Products","Special/Discount Products"
"Notified Date: %s<br/>","Teavitamise kuupäev: %s<br/>"
"Order #%s created at %s","Tellimus nr %s loodud %s"
"Order # %s Notification(s)","Tellimuse nr %s teavitus(ed)"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"Product: ""%s"" review By: %s","Toode: ""%s"" kommentaari kirjutaja: %s"
"Product: <a href=""%s"">%s</a> <br/>","Toode: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Tooted märksõnaga %s"
"Total Products: %s","Total Products: %s"
"New Orders","Uued tellimused"
"New Products","Uued tooted"
"New Products from %s","Uued tooted %s"
"Subtotal","Vahesumma"
"Get Feed","Võta kanal"
"Error in processing xml. %s","Viga xml protsessimisel. %s"
