"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Actions","Actions"
"Are you sure that you want to delete this tag?","Are you sure that you want to delete this tag?"
"General Information","Üldinfo"
"Back to view Tag","Back to view Tag"
"Block Information","Blokeerimise info"
"CSV","CSV"
"Email","E-post"
"Edit Tag","Edit Tag"
"First Name","Eesnimi"
"Unable to find any products tagged with '%s' in the current store","Ei leia ühtegi toodet märksõnaga '%s' selles poes"
"Unable to save tag(s)","Ei saa salvestada märksõna"
"Price","Hind"
"ID","ID"
"Use spaces to separate tags. Use single quotes (') for phrases.","Kasutage tühikuid märksõnade eraldamiseks. Kasutada ülakoma (') fraaside jaoks."
"Uses","Kasutusi"
"# of Uses","kasutuskordi"
"All Tags","Kõik märksõnad"
"Disabled","Keelatud"
"Approved","Kinnitatud"
"Customers","Kliendid"
"Customers Tagged '%s'","Kliendid on sildistanud '%s'"
"Customer Since","Klient alates"
"Click on a tag to view your corresponding products.","Kliki märksõnal, et näha enda poolt märgitud tooteid."
"Delete","Kustuta"
"Delete Tag","Kustuta märksõna"
"Add Tags","Lisa märksõnu"
"Add Your Tags:","Lisa oma märksõnu"
"Add to Cart","Lisa ostukorvi"
"Add to Wishlist","Lisa soovikorvi"
"Add New Tag","Lisa uus märksõna"
"Tag","Märksõna"
"Unable to remove tag. Please, try again later.","Märksõna ei saanud kustutada. Palun proovige hiljem uuesti."
"Tag Name","Märksõna nimi"
"Tags","Märksõnad"
"Tags Aren't Available","Märksõnad ei ole saadaval"
"Tags:","Märksõnad:"
"My Tags","Minu märksõnad"
"My Recent Tags","Minu viimased märksõnad"
"Edit Tag '%s'","Muuda märksõna '%s'"
"Change status","Muuda staatust"
"Visible In","Nähtavus"
"List","Nimekiri"
"Name","Nimi"
"Are you sure you want to delete this tag?","Olete Te kindel, et soovite kustutada seda märksõna?"
"Are you sure you want to do this?","Olete Te kindel, et soovite seda teha?"
"Are you sure?","Olete Te kindel?"
"Pending","Ootel"
"Pending Tags","Ootel märksõnad"
"Last Name","Perenimi"
"Popular","Populaarsed"
"Popular Tags","Populaarsed märksõnad"
"Popularity","Populaarsus"
"ZIP/Post Code","Postiindeks"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"Country","Riik"
"Save Tag","Salvesta märksõna"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Search Results for '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"No matches found.","Selliseid ei leitud."
"SKU","SKU"
"Status","Staatus"
"Grid","Tabel"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag can't be empty.","Tag can't be empty."
"Tag Information","Tag Information"
"Tag Name: %s","Tag Name: %s"
"Back","Tagasi"
"Back to Tags List","Tagasi märksõnade nimekirja"
"Tagged in","Tagged in"
"You have not tagged any products yet.","Te ei ole veel ühelegi tootele märksõnu lisanud. Tootele märksõna lisamiseks sisestage see toote lehel olevasse kasti ""Lisa oma märksõnu""."
"Action","Tegevus"
"Other people marked this product with these tags:","Teised on sellele tootele pannud selliseid märksõnu:"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Thank you. Your tag has been accepted for moderation."
"Product Tags","Toote märksõnad"
"Product Name","Toote nimi"
"Product SKU","Toote SKU"
"Products","Tooted"
"Products tagged with '%s'","Tooted märksõnaga '%s'"
"Products Tagged with '%s'","Tooted märksõnaga '%s'"
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later."
"New Tag","Uus märksõna"
"View All Tags","Vaata kõiki märksõnu"
"View Customers","Vaata kliente"
"View Products","Vaata tooteid"
"View All","View All"
"XML","XML"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
